Product Name ,Product Price,Item Number,Model Number,Product Category,Product Description
Computer office Desks,$249.99,24290479,ST52105,Cherry,The Staples Kendall Park double pedestal desk features a spacious workspace with optimal storage for your home or small office
Computer office Desks,$94.99,24343773,WE-OF-0152G,Gray,Easy to go Corner Computer Desk 
Computer office Desks,$219.99,24398973,UN59685-CC,Espresso,Carve out a personal workspace with this storage desk. The simple design and classic mid-century modern
Computer office Desks,$99.99,952543,952543-CC,Brown,Maximize usable floor space at home or in the office with this Easy 2 Go corner computer desk.
Computer office Desks,$54.99,24343774,WE-OF-0146G,Gray,Easy 2 Go Student Desk with Bookcases
Computer office Desks,$249.99,2736559,SPUS-ASHD,Fawn Aged Oak,Enhance productivity and give your office a modern touch with this Whalen Asherton L desk. 
Computer office Desks,$219.99,24308799,SPUS-EGDB,Black,"Assemble a complete set of gaming gear on this black computer desk. The spacious tabletop offers plenty of room for multiple monitors, and the ventilated storage cabinets, "
Computer office Desks,$179.99,24522186,60986,White Colorway,"Ready. Set. Game On. Elevate your game with the Vizon, a gaming desk that empowers from Union & Scale."
Computer office Desks,$67.99,2093917,WE-OF-0146-CC,Dark Wood,Create a functional work or study space with this Easy2Go bookcase student desk.
Computer office Desks,$250.06,674053,RTA-8211-ES18,Espresso,Enhance organization in your office with this Techni Mobili multi-function computer desk.
